,url,scheme,netloc,path,query,fragment,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,last_dir,query_utm_source,query_utm_medium,query_utm_campaign
0,https://zeo.org/resources/blog/basic-seo-data-analysis-with-python,https,zeo.org,/resources/blog/basic-seo-data-analysis-with-python,,,resources,blog,basic-seo-data-analysis-with-python,,,,basic-seo-data-analysis-with-python,,,
1,https://zeo.org/tr/kaynaklar/blog/python-ile-seo-analizi,https,zeo.org,/tr/kaynaklar/blog/python-ile-seo-analizi,,,tr,kaynaklar,blog,python-ile-seo-analizi,,,python-ile-seo-analizi,,,
2,https://zeo.org/hello,https,zeo.org,/hello,,,hello,,,,,,hello,,,
3,https://zeo.org/tools/serp-preview,https,zeo.org,/tools/serp-preview,,,tools,serp-preview,,,,,serp-preview,,,
4,https://zeo.org/tools/chrome-extensions-for-seo,https,zeo.org,/tools/chrome-extensions-for-seo,,,tools,chrome-extensions-for-seo,,,,,chrome-extensions-for-seo,,,
5,https://zeo.org/team,https,zeo.org,/team,,,team,,,,,,team,,,
6,https://zeo.org/culture,https,zeo.org,/culture,,,culture,,,,,,culture,,,
7,https://zeo.org/contracts,https,zeo.org,/contracts,,,contracts,,,,,,contracts,,,
8,https://zeo.org/brand-assets,https,zeo.org,/brand-assets,,,brand-assets,,,,,,brand-assets,,,
9,https://zeo.org/tools/seo-browser,https,zeo.org,/tools/seo-browser,,,tools,seo-browser,,,,,seo-browser,,,
10,https://zeo.org/tools/seo-sheets,https,zeo.org,/tools/seo-sheets,,,tools,seo-sheets,,,,,seo-sheets,,,
11,https://zeo.org/tools/carbon,https,zeo.org,/tools/carbon,,,tools,carbon,,,,,carbon,,,
12,https://zeo.org/tools/mobile-first-indexing-mfi-checker,https,zeo.org,/tools/mobile-first-indexing-mfi-checker,,,tools,mobile-first-indexing-mfi-checker,,,,,mobile-first-indexing-mfi-checker,,,
13,https://zeo.org/hello/career,https,zeo.org,/hello/career,,,hello,career,,,,,career,,,
14,https://zeo.org/meetups,https,zeo.org,/meetups,,,meetups,,,,,,meetups,,,
15,https://zeo.org/tools,https,zeo.org,/tools,,,tools,,,,,,tools,,,
16,https://zeo.org/digitalzone,https,zeo.org,/digitalzone,,,digitalzone,,,,,,digitalzone,,,
17,https://zeo.org/events,https,zeo.org,/events,,,events,,,,,,events,,,
18,https://zeo.org/tr/merhaba,https,zeo.org,/tr/merhaba,,,tr,merhaba,,,,,merhaba,,,
19,https://zeo.org/resources/blog/visualizing-google-analytics-data-with-r-for-seo-purposes,https,zeo.org,/resources/blog/visualizing-google-analytics-data-with-r-for-seo-purposes,,,resources,blog,visualizing-google-analytics-data-with-r-for-seo-purposes,,,,visualizing-google-analytics-data-with-r-for-seo-purposes,,,
20,https://zeo.org/tr/sozlesme-ve-politikalar,https,zeo.org,/tr/sozlesme-ve-politikalar,,,tr,sozlesme-ve-politikalar,,,,,sozlesme-ve-politikalar,,,
21,https://zeo.org/tr/medya-kiti,https,zeo.org,/tr/medya-kiti,,,tr,medya-kiti,,,,,medya-kiti,,,
22,https://zeo.org/tr/zeo-kulturu,https,zeo.org,/tr/zeo-kulturu,,,tr,zeo-kulturu,,,,,zeo-kulturu,,,
23,https://zeo.org/tr/merhaba/hizmetler,https,zeo.org,/tr/merhaba/hizmetler,,,tr,merhaba,hizmetler,,,,hizmetler,,,
24,https://zeo.org/tr/araclar/seo-browser,https,zeo.org,/tr/araclar/seo-browser,,,tr,araclar,seo-browser,,,,seo-browser,,,
25,https://zeo.org/tr/kaynaklar/blog/google-analytics-r-machine-learning,https,zeo.org,/tr/kaynaklar/blog/google-analytics-r-machine-learning,,,tr,kaynaklar,blog,google-analytics-r-machine-learning,,,google-analytics-r-machine-learning,,,
26,https://zeo.org/resources/blog/how-to-track-mouse-hover-on-google-analytics-4-with-gtm,https,zeo.org,/resources/blog/how-to-track-mouse-hover-on-google-analytics-4-with-gtm,,,resources,blog,how-to-track-mouse-hover-on-google-analytics-4-with-gtm,,,,how-to-track-mouse-hover-on-google-analytics-4-with-gtm,,,
27,https://zeo.org/tr/merhaba/basvuru,https,zeo.org,/tr/merhaba/basvuru,,,tr,merhaba,basvuru,,,,basvuru,,,
